x_m,y_m,can_overtake
-1.1970827,16.1454474,true
-1.2575477,16.1605056,true
-1.3187725,16.1712620,true
-1.3805619,16.1775464,true
-1.4427206,16.1791884,true
-1.5050623,16.1760585,true
-1.5674598,16.1682962,true
-1.6298102,16.1561506,true
-1.6920103,16.1398708,true
-1.7539573,16.1197063,true
-1.8155482,16.0959062,true
-1.8766799,16.0687198,true
-1.9372494,16.0383963,true
-1.9971538,16.0051851,true
-2.0562902,15.9693354,true
-2.1145554,15.9310965,true
-2.1718466,15.8907176,true
-2.2280607,15.8484480,true
-2.2830947,15.8045370,true
-2.3368677,15.7591972,true
-2.3893842,15.7124984,true
-2.4406693,15.6644763,true
-2.4907482,15.6151663,true
-2.5396462,15.5646040,true
-2.5873883,15.5128248,true
-2.6339997,15.4598642,true
-2.6795057,15.4057578,true
-2.7239314,15.3505411,true
-2.7673020,15.2942495,true
-2.8096427,15.2369185,true
-2.8509786,15.1785838,true
-2.8913349,15.1192806,true
-2.9307368,15.0590447,true
-2.9692096,14.9979114,true
-3.0067783,14.9359162,true
-3.0434681,14.8730947,true
-3.0793042,14.8094824,true
-3.1143119,14.7451148,true
-3.1485162,14.6800273,true
-3.1819424,14.6142555,true
-3.2146157,14.5478349,true
-3.2465611,14.4808010,true
-3.2778040,14.4131892,true
-3.3083694,14.3450351,true
-3.3382826,14.2763742,true
-3.3675687,14.2072420,true
-3.3962530,14.1376740,true
-3.4243605,14.0677057,true
-3.4519165,13.9973725,true
-3.4789461,13.9267101,false
-3.5054746,13.8557538,false
-3.5315271,13.7845393,false
-3.5571287,13.7131019,false
-3.5823048,13.6414772,false
-3.6070803,13.5697008,false
-3.6314806,13.4978080,false
-3.6555308,13.4258344,false
-3.6792561,13.3538156,false
-3.7026817,13.2817870,false
-3.7258327,13.2097840,false
-3.7487343,13.1378423,false
-3.7714117,13.0659973,false
-3.7938901,12.9942846,false
-3.8161946,12.9227395,false
-3.8383505,12.8513977,false
-3.8603828,12.7802946,false
-3.8823169,12.7094657,false
-3.9041779,12.6389465,false
-3.9259909,12.5687726,false
-3.9477811,12.4989794,false
-3.9695738,12.4296024,false
-3.9913940,12.3606772,false
-4.0132670,12.2922392,false
-4.0352179,12.2243239,false
-4.0572720,12.1569669,false
-4.0794544,12.0902036,false
-4.1017902,12.0240696,false
-4.1242961,11.9585974,false
-4.1469241,11.8937983,false
-4.1695972,11.8296736,false
-4.1922381,11.7662248,false
-4.2147696,11.7034532,false
-4.2371145,11.6413603,false
-4.2591955,11.5799474,false
-4.2809355,11.5192159,false
-4.3022572,11.4591672,false
-4.3230834,11.3998027,false
-4.3433368,11.3411239,false
-4.3629403,11.2831319,false
-4.3818167,11.2258284,false
-4.3998886,11.1692146,false
-4.4170789,11.1132919,false
-4.4333104,11.0580618,false
-4.4485060,11.0035256,false
-4.4626297,10.9496781,false
-4.4757469,10.8964979,false
-4.4879383,10.8439611,false
-4.4992842,10.7920439,false
-4.5098653,10.7407225,false
-4.5197621,10.6899731,false
-4.5290552,10.6397717,false
-4.5378251,10.5900946,false
-4.5461524,10.5409179,false
-4.5541176,10.4922178,false
-4.5618012,10.4439704,false
-4.5692839,10.3961520,false
-4.5766462,10.3487386,false
-4.5839686,10.3017065,false
-4.5913317,10.2550317,false
-4.5988160,10.2086906,false
-4.6065020,10.1626591,false
-4.6144704,10.1169136,false
-4.6228017,10.0714301,false
-4.6315764,10.0261848,false
-4.6408751,9.9811539,false
-4.6507784,9.9363135,false
-4.6613667,9.8916398,false
-4.6727206,9.8471090,false
-4.6849188,9.8027123,false
-4.6980249,9.7585553,false
-4.7120959,9.7147955,false
-4.7271886,9.6715910,false
-4.7433600,9.6290997,false
-4.7606669,9.5874795,false
-4.7791662,9.5468883,false
-4.7989148,9.5074842,false
-4.8199697,9.4694251,false
-4.8423876,9.4328688,false
-4.8662255,9.3979734,false
-4.8915403,9.3648968,false
-4.9183889,9.3337969,false
-4.9468281,9.3048317,false
-4.9769149,9.2781591,false
-5.0087061,9.2539371,false
-5.0422586,9.2323236,false
