-0.7805402,0.0466626,true
-0.5974574,-0.0312691,true
-0.4086158,-0.0943666,true
-0.2158919,-0.1446112,true
-0.0221467,-0.1836235,true
0.1737365,-0.2136414,true
0.3723742,-0.2361841,true
0.5731894,-0.2522303,true
0.7699209,-0.2623064,true
0.9700625,-0.2674905,true
1.1696737,-0.2680363,true
1.3684173,-0.2643136,true
1.5691327,-0.2564713,true
1.7668699,-0.2449048,true
1.9667787,-0.2294937,true
2.1644072,-0.2107207,true
2.3631439,-0.1884544,true
2.5605060,-0.1631408,true
2.7581576,-0.1347895,true
2.9549357,-0.1037885,true
3.1516055,-0.0702802,true
3.3476983,-0.0346390,true
3.5435699,0.0028429,true
3.7390521,0.0418083,true
3.9343688,0.0820122,true
4.1293543,0.1231275,true
4.3244117,0.1649319,true
4.5190716,0.2069190,true
4.7140950,0.2487518,true
4.9087673,0.2897129,true
5.1042775,0.3295231,true
5.2993925,0.3680162,true
5.4957741,0.4058810,true
5.6910488,0.4429803,true
5.8877967,0.4801449,true
6.0833617,0.5173096,true
6.2792681,0.5552931,true
6.4752890,0.5947242,true
6.6686075,0.6358584,true
6.8647883,0.6810441,true
7.0574427,0.7304140,true
7.2472431,0.7861269,true
7.4367765,0.8521197,true
7.6195779,0.9310622,true
7.7929707,1.0275255,true
7.9529867,1.1446406,true
8.0949726,1.2840634,true
8.2081273,1.4477194,true
8.2761405,1.6341712,true
8.2888564,1.8322351,true
8.2437723,2.0254047,true
8.1459945,2.1978840,true
8.0071757,2.3395768,true
7.8405027,2.4487969,true
7.6585927,2.5290217,true
7.4698967,2.5867487,true
7.2751036,2.6286163,true
7.0751647,2.6581666,true
6.8796114,2.6767169,true
6.6794885,2.6870313,true
6.4801152,2.6898217,true
6.2810127,2.6858868,true
6.0809041,2.6756025,true
5.8828114,2.6594023,true
5.6837515,2.6372282,true
5.4867032,2.6095016,true
5.2898189,2.5760525,true
5.0940223,2.5369859,true
4.9000311,2.4923186,true
4.7065512,2.4415735,true
4.5158989,2.3854905,true
4.3259510,2.3238851,true
4.1381585,2.2582749,true
3.9511150,2.1893628,true
3.7649107,2.1183509,true
3.5793369,2.0464199,true
3.3932399,1.9744646,true
3.2073118,1.9041962,true
3.0194713,1.8363538,true
2.8308475,1.7728843,true
2.6401084,1.7148482,true
2.4475892,1.6638120,true
2.2530895,1.6210489,true
2.0567056,1.5877865,true
1.8587128,1.5652189,true
1.6595583,1.5540377,true
1.4599126,1.5535718,true
1.2608301,1.5625449,true
1.0612691,1.5792232,true
0.8645920,1.6012688,true
0.6653031,1.6271538,true
0.4677883,1.6542782,true
0.2722002,1.6809148,true
0.0736543,1.7073146,true
-0.1223176,1.7360721,true
-0.3150139,1.7762126,true
-0.4992765,1.8518684,true
-0.6473091,1.9788188,true
-0.7468320,2.1556155,true
-0.7752134,2.3534714,true
-0.7394341,2.5520518,true
-0.6455442,2.7253866,true
-0.5065688,2.8661110,true
-0.3387207,2.9649623,true
-0.1501767,3.0332854,true
0.0418291,3.0781411,true
0.2391996,3.1111459,true
0.4372148,3.1389064,true
0.6343855,3.1658527,true
0.8325681,3.1954393,true
1.0285602,3.2297054,true
1.2241239,3.2711264,true
1.4171509,3.3212416,true
1.6077182,3.3819047,true
1.7928240,3.4530665,true
1.9749956,3.5360317,true
2.1503885,3.6290455,true
2.3204772,3.7327253,true
2.4836108,3.8462679,true
2.6399830,3.9695476,true
2.7882384,4.1008929,true
2.9297895,4.2410902,true
3.0681329,4.3855212,true
3.2101552,4.5261198,true
3.3610417,4.6564780,true
3.5241244,4.7709009,true
3.6990832,4.8657000,true
3.8845163,4.9382532,true
4.0780928,4.9860530,true
4.2759944,5.0086044,true
4.4755279,5.0073940,true
4.6729384,4.9844231,true
4.8680067,4.9422710,true
5.0589234,4.8850542,true
5.2461236,4.8167023,true
5.4309234,4.7407310,true
5.6126045,4.6613086,true
5.7959262,4.5803763,true
5.9793566,4.5034903,true
6.1657992,4.4346322,true
6.3561109,4.3789222,true
6.5513768,4.3426556,true
6.7502759,4.3320436,true
6.9484729,4.3527373,true
7.1408114,4.4074203,true
7.3186682,4.4975288,true
7.4730251,4.6224873,true
7.5967367,4.7782284,true
7.6858084,4.9564357,true
7.7369950,5.1482903,true
7.7489455,5.3472665,true
7.7225032,5.5447121,true
7.6605696,5.7333922,true
7.5662345,5.9095155,true
7.4451877,6.0669433,true
7.3015055,6.2043910,true
7.1401470,6.3205561,true
6.9658040,6.4157074,true
6.7818012,6.4923479,true
6.5936176,6.5534690,true
6.3998798,6.6033282,true
6.2052330,6.6434324,true
6.0086668,6.6758322,true
5.8099750,6.7015264,true
5.6123810,6.7206772,true
5.4122973,6.7337595,true
5.2137038,6.7404079,true
5.0138256,6.7404785,true
4.8146166,6.7335410,true
4.6155471,6.7190479,true
4.4174106,6.6962869,true
4.2203219,6.6642133,true
4.0258646,6.6220080,true
3.8333871,6.5684183,true
3.6459217,6.5042933,true
3.4603855,6.4292475,true
3.2802180,6.3453566,true
3.1035711,6.2527041,true
2.9310315,6.1526498,true
2.7630966,6.0468231,true
2.5972957,5.9351101,true
2.4350700,5.8202423,true
2.2741576,5.7029442,true
2.1137125,5.5855058,true
1.9515334,5.4699315,true
1.7862523,5.3593013,true
1.6162770,5.2566596,true
1.4390402,5.1625848,true
1.2591724,5.0796094,true
1.0735331,5.0045246,true
0.8861217,4.9372950,true
0.6959850,4.8762085,true
0.5045975,4.8203927,true
0.3117228,4.7682799,true
0.1192032,4.7186318,true
-0.0748665,4.6690281,true
-0.2671079,4.6182568,true
