x_m,y_m,can_overtake
-4.7176510,0.9763269,true
-4.5774453,0.9237617,true
-4.4373034,0.8728945,true
-4.2973434,0.8236953,true
-4.1575575,0.7761588,true
-4.0179327,0.7302807,true
-3.8784558,0.6860567,true
-3.7391138,0.6434826,true
-3.5998936,0.6025542,true
-3.4607823,0.5632673,true
-3.3217667,0.5256175,true
-3.1828339,0.4896006,true
-3.0439706,0.4552125,true
-2.9051640,0.4224488,true
-2.7664008,0.3913053,true
-2.6276682,0.3617777,true
-2.4889529,0.3338619,true
-2.3502421,0.3075536,true
-2.2115225,0.2828484,true
-2.0727812,0.2597423,true
-1.9340050,0.2382309,true
-1.7951810,0.2183100,true
-1.6562961,0.1999753,true
-1.5173373,0.1832227,true
-1.3782914,0.1680478,true
-1.2391454,0.1544464,true
-1.0998862,0.1424143,true
-0.9605009,0.1319473,true
