-0.8209764,0.1230410,6.5999755
-0.6813011,0.1156858,6.6303824
-0.5414699,0.1098503,6.6595470
-0.4014791,0.1054976,6.6875179
-0.2613253,0.1025907,6.7140480
-0.1210047,0.1010929,6.7388540
0.0194862,0.1009673,6.7625785
0.1601510,0.1021769,6.7849904
0.3009934,0.1046849,6.7921577
0.4420170,0.1084544,6.7719567
0.5832253,0.1134486,6.7281454
0.7246220,0.1196305,6.6599845
0.8662106,0.1269633,6.5908893
1.0079948,0.1354101,6.5209927
1.1499782,0.1449340,6.4502034
1.2921644,0.1554981,6.3771874
1.4345570,0.1670656,6.3022269
1.5771596,0.1795996,6.2253808
1.7199758,0.1930632,6.1460835
1.8630092,0.2074196,6.0634176
2.0062634,0.2226317,5.9781971
2.1497421,0.2386629,5.8903655
2.2934488,0.2554761,5.7985316
2.4373871,0.2730345,5.7040905
2.5815607,0.2913013,5.6075219
2.7259731,0.3102395,5.5087026
2.8706280,0.3298123,5.4076602
3.0155278,0.3499881,5.3053146
3.1606477,0.3708593,5.2017387
3.3059353,0.3926451,5.0965204
3.4513368,0.4155703,4.9901173
3.5967985,0.4398595,4.8827241
3.7422667,0.4657374,4.7742325
3.8876876,0.4934288,4.6642967
4.0330074,0.5231585,4.5533085
4.1781725,0.5551510,4.4412274
4.3231292,0.5896313,4.3274228
4.4678236,0.6268239,4.2121725
4.6122021,0.6669536,4.0957990
4.7562109,0.7102452,3.9782550
4.8997963,0.7569233,3.8595918
5.0428840,0.8072080,3.7409197
5.1850095,0.8612279,3.6225220
5.3253581,0.9190300,3.5053919
5.4631026,0.9806583,3.3895497
5.5974160,1.0461570,3.2742048
5.7274711,1.1155701,3.1589893
5.8524410,1.1889416,3.0479034
5.9714984,1.2663156,2.9424217
6.0838164,1.3477361,2.8430843
6.1885678,1.4332473,2.7533296
6.2849256,1.5228931,2.6675059
6.3720626,1.6167177,2.5809575
6.4491518,1.7147651,2.4913760
6.5155492,1.8170224,2.4250379
6.5713721,1.9232400,2.4017337
6.6169355,2.0331069,2.4095358
6.6525543,2.1463119,2.4250009
6.6785436,2.2625440,2.4710369
6.6952182,2.3814921,2.5529973
6.7028933,2.5028452,2.6758782
6.7018837,2.6262921,2.8069394
6.6925044,2.7515218,2.9335225
6.6750704,2.8782232,3.0557394
6.6498968,3.0060853,3.1723356
6.6172984,3.1347969,3.2814529
6.5775902,3.2640470,3.3833384
6.5310872,3.3935246,3.4771411
6.4781045,3.5229184,3.5554136
6.4189569,3.6519175,3.6227845
6.3539595,3.7802109,3.6800099
6.2834272,3.9074873,3.7248517
6.2076750,4.0334357,3.7603562
6.1270179,4.1577452,3.7907247
6.0417708,4.2801045,3.8165809
5.9522488,4.4002026,3.8376562
5.8587668,4.5177284,3.8566285
5.7616398,4.6323710,3.8741713
5.6611827,4.7438191,3.8906143
5.5577106,4.8517617,3.9068112
5.4515342,4.9558946,3.9232845
5.3428629,5.0560783,3.9402086
5.2318024,5.1523414,3.9583659
5.1184539,5.2447203,3.9779595
5.0029185,5.3332513,3.9989949
4.8852972,5.4179708,4.0219123
4.7656912,5.4989151,4.0479054
4.6442015,5.5761205,4.0764210
4.5209293,5.6496234,4.1075794
4.3959756,5.7194601,4.1427582
4.2694416,5.7856670,4.1814253
4.1414283,5.8482803,4.2229081
4.0120368,5.9073364,4.2674175
3.8813682,5.9628718,4.3154019
3.7495236,6.0149225,4.3691181
3.6166042,6.0635252,4.4161711
3.4827110,6.1087159,4.4401540
