-0.9360730,-1.2594648,4.1399873
-0.7524896,-1.1794213,4.2723362
-0.5781497,-1.0833008,4.4008003
-0.4115491,-0.9725233,4.5254888
-0.2537735,-0.8506805,4.6449668
-0.1030011,-0.7196853,4.7625641
0.0423738,-0.5813618,4.8787779
0.1821611,-0.4391897,4.9940742
0.3192469,-0.2934299,5.1096064
0.4547365,-0.1458967,5.2253719
0.5895147,0.0014230,5.3383404
0.7257490,0.1479587,5.4493321
0.8644806,0.2919094,5.5565546
1.0069855,0.4317245,5.6601217
1.1552464,0.5663192,5.7571369
1.3089758,0.6927629,5.7830156
1.4702040,0.8108986,5.7382566
1.6378689,0.9201283,5.5891940
1.8100624,1.0214130,5.4412384
1.9868431,1.1164907,5.2937792
2.1657272,1.2053644,5.1430973
2.3474376,1.2896720,4.9909825
2.5308357,1.3700497,4.8316398
2.7154486,1.4475044,4.6697541
2.9006918,1.5231184,4.5032441
3.0866882,1.5985188,4.3353573
3.2703502,1.6743897,4.1665510
3.4554794,1.7548038,4.0014137
3.6355359,1.8400944,3.8388978
3.8113846,1.9345148,3.6818359
3.9811640,2.0423083,3.5493450
4.1374462,2.1653618,3.4233903
4.2769820,2.3063514,3.2936372
4.3980497,2.4656510,3.1199053
4.4969898,2.6390212,2.8965040
4.5713532,2.8239981,2.6208696
4.6158473,3.0185846,2.3605671
4.6212764,3.2180215,2.2096865
4.5794493,3.4130549,2.2487052
4.4921508,3.5924102,2.4381705
4.3727127,3.7524214,2.6547069
4.2319105,3.8935050,2.8383711
4.0742046,4.0153445,2.9800571
3.9014137,4.1166694,3.0997810
3.7192951,4.1970798,3.2321440
3.5311463,4.2607703,3.3774499
3.3370682,4.3118416,3.5256070
3.1406288,4.3521729,3.6714610
2.9443626,4.3834640,3.8061622
2.7443520,4.4077061,3.9360452
2.5460566,4.4252235,4.0561451
2.3460102,4.4371343,4.1719747
2.1458581,4.4439168,4.2829641
1.9459829,4.4461279,4.3916177
1.7454750,4.4443173,4.4992401
1.5456694,4.4390308,4.6074260
1.3456620,4.4308151,4.7157947
1.1456276,4.4202532,4.8268613
0.9461423,4.4080700,4.9373325
0.7461710,4.3948213,5.0454374
0.5468126,4.3809998,5.1525812
0.3474110,4.3669053,5.2582409
0.1476990,4.3527939,5.3625090
-0.0509857,4.3390835,5.4659451
-0.2513270,4.3259578,5.4749609
-0.4503026,4.3139432,5.4383484
-0.6502382,4.3032066,5.2772301
-0.8500678,4.2940915,5.1094139
-1.0489845,4.2867704,4.9368124
-1.2496065,4.2811210,4.7545938
-1.4493068,4.2768509,4.5718738
-1.6487561,4.2732216,4.3886609
-1.8491590,4.2691330,4.2144865
-2.0488107,4.2632402,4.0478705
-2.2481041,4.2540756,3.8909994
-2.4478392,4.2399489,3.7722675
-2.6463927,4.2183379,3.6512718
-2.8433668,4.1858107,3.5222018
-3.0373749,4.1382278,3.3447121
-3.2245910,4.0712192,3.1425041
-3.4020207,3.9786122,2.9186751
-3.5606694,3.8578690,2.6628228
-3.6926477,3.7067698,2.3563577
-3.7872714,3.5311247,2.0436862
-3.8336552,3.3374992,1.8746876
-3.8205977,3.1416085,2.0153211
-3.7598273,2.9485141,2.3588478
-3.6776706,2.7665823,2.6603922
-3.5923670,2.5847176,2.9392880
-3.5177859,2.3995494,3.1800525
-3.4586744,2.2086132,3.3677064
-3.4182553,2.0132653,3.5055443
-3.3979821,1.8145202,3.4370822
-3.3975201,1.6151341,3.4055628
-3.4163626,1.4158099,3.4062813
-3.4534142,1.2200875,3.5546760
-3.5053802,1.0262645,3.6564085
-3.5669230,0.8358029,3.6112629
-3.6327762,0.6460502,3.4902269
-3.6961521,0.4576537,3.3250628
-3.7518982,0.2647386,3.2095076
-3.7927166,0.0699595,3.0904359
-3.8124600,-0.1287036,2.9667978
-3.8042903,-0.3271676,2.8324162
-3.7617858,-0.5226028,2.7057793
-3.6827277,-0.7060724,2.5997434
-3.5689368,-0.8703451,2.5948709
-3.4266762,-1.0110142,2.6397461
-3.2642379,-1.1268736,2.7480520
-3.0875636,-1.2202722,2.8500488
-2.9016886,-1.2937789,2.9402809
-2.7096057,-1.3495767,3.0194655
-2.5137683,-1.3895093,3.0932742
-2.3151700,-1.4153993,3.1933964
-2.1156158,-1.4286161,3.3039608
-1.9156637,-1.4302847,3.4363592
-1.7154146,-1.4209083,3.5767544
-1.5174851,-1.4004572,3.7208789
-1.3193389,-1.3676590,3.8620664
-1.1248902,-1.3212795,3.9320093
-0.9360730,-1.2594648,4.1399873
